product_id,date,weekly_sales,year,month,week,day_of_week,is_holiday_season
B07JW9H4J1,2023-01-01,99,2023,1,52,6,True
B07JW9H4J1,2023-01-08,100,2023,1,1,6,True
B07JW9H4J1,2023-01-15,96,2023,1,2,6,True
B07JW9H4J1,2023-01-22,97,2023,1,3,6,True
B07JW9H4J1,2023-01-29,105,2023,1,4,6,True
B07JW9H4J1,2023-02-05,113,2023,2,5,6,True
B07JW9H4J1,2023-02-12,100,2023,2,6,6,True
B07JW9H4J1,2023-02-19,100,2023,2,7,6,True
B07JW9H4J1,2023-02-26,128,2023,2,8,6,True
B07JW9H4J1,2023-03-05,113,2023,3,9,6,False
B07JW9H4J1,2023-03-12,107,2023,3,10,6,False
B07JW9H4J1,2023-03-19,117,2023,3,11,6,False
B07JW9H4J1,2023-03-26,96,2023,3,12,6,False
B07JW9H4J1,2023-04-02,142,2023,4,13,6,False
B07JW9H4J1,2023-04-09,116,2023,4,14,6,False
B07JW9H4J1,2023-04-16,106,2023,4,15,6,False
B07JW9H4J1,2023-04-23,112,2023,4,16,6,False
B07JW9H4J1,2023-04-30,122,2023,4,17,6,False
B07JW9H4J1,2023-05-07,114,2023,5,18,6,False
B07JW9H4J1,2023-05-14,99,2023,5,19,6,False
B07JW9H4J1,2023-05-21,103,2023,5,20,6,False
B07JW9H4J1,2023-05-28,110,2023,5,21,6,False
B07JW9H4J1,2023-06-04,103,2023,6,22,6,False
B07JW9H4J1,2023-06-11,118,2023,6,23,6,False
B07JW9H4J1,2023-06-18,96,2023,6,24,6,False
B07JW9H4J1,2023-06-25,109,2023,6,25,6,False
B07JW9H4J1,2023-07-02,101,2023,7,26,6,False
B07JW9H4J1,2023-07-09,100,2023,7,27,6,False
B07JW9H4J1,2023-07-16,109,2023,7,28,6,False
B07JW9H4J1,2023-07-23,110,2023,7,29,6,False
B07JW9H4J1,2023-07-30,81,2023,7,30,6,False
B07JW9H4J1,2023-08-06,101,2023,8,31,6,False
B07JW9H4J1,2023-08-13,103,2023,8,32,6,False
B07JW9H4J1,2023-08-20,84,2023,8,33,6,False
B07JW9H4J1,2023-08-27,102,2023,8,34,6,False
B07JW9H4J1,2023-09-03,86,2023,9,35,6,False
B07JW9H4J1,2023-09-10,105,2023,9,36,6,False
B07JW9H4J1,2023-09-17,87,2023,9,37,6,False
B07JW9H4J1,2023-09-24,85,2023,9,38,6,False
B07JW9H4J1,2023-10-01,101,2023,10,39,6,False
B07JW9H4J1,2023-10-08,83,2023,10,40,6,False
B07JW9H4J1,2023-10-15,91,2023,10,41,6,False
B07JW9H4J1,2023-10-22,86,2023,10,42,6,False
B07JW9H4J1,2023-10-29,90,2023,10,43,6,False
B07JW9H4J1,2023-11-05,97,2023,11,44,6,True
B07JW9H4J1,2023-11-12,90,2023,11,45,6,True
B07JW9H4J1,2023-11-19,100,2023,11,46,6,True
B07JW9H4J1,2023-11-26,85,2023,11,47,6,True
B07JW9H4J1,2023-12-03,108,2023,12,48,6,True
B07JW9H4J1,2023-12-10,105,2023,12,49,6,True
B07JW9H4J1,2023-12-17,98,2023,12,50,6,True
B07JW9H4J1,2023-12-24,96,2023,12,51,6,True
B098NS6PVG,2023-01-01,101,2023,1,52,6,True
B098NS6PVG,2023-01-08,115,2023,1,1,6,True
B098NS6PVG,2023-01-15,121,2023,1,2,6,True
B098NS6PVG,2023-01-22,130,2023,1,3,6,True
B098NS6PVG,2023-01-29,139,2023,1,4,6,True
B098NS6PVG,2023-02-05,117,2023,2,5,6,True
B098NS6PVG,2023-02-12,117,2023,2,6,6,True
B098NS6PVG,2023-02-19,116,2023,2,7,6,True
B098NS6PVG,2023-02-26,125,2023,2,8,6,True
B098NS6PVG,2023-03-05,123,2023,3,9,6,False
B098NS6PVG,2023-03-12,161,2023,3,10,6,False
B098NS6PVG,2023-03-19,122,2023,3,11,6,False
B098NS6PVG,2023-03-26,129,2023,3,12,6,False
B098NS6PVG,2023-04-02,126,2023,4,13,6,False
B098NS6PVG,2023-04-09,149,2023,4,14,6,False
B098NS6PVG,2023-04-16,111,2023,4,15,6,False
B098NS6PVG,2023-04-23,129,2023,4,16,6,False
B098NS6PVG,2023-04-30,148,2023,4,17,6,False
B098NS6PVG,2023-05-07,128,2023,5,18,6,False
B098NS6PVG,2023-05-14,147,2023,5,19,6,False
B098NS6PVG,2023-05-21,135,2023,5,20,6,False
B098NS6PVG,2023-05-28,134,2023,5,21,6,False
B098NS6PVG,2023-06-04,114,2023,6,22,6,False
B098NS6PVG,2023-06-11,127,2023,6,23,6,False
B098NS6PVG,2023-06-18,124,2023,6,24,6,False
B098NS6PVG,2023-06-25,121,2023,6,25,6,False
B098NS6PVG,2023-07-02,127,2023,7,26,6,False
B098NS6PVG,2023-07-09,121,2023,7,27,6,False
B098NS6PVG,2023-07-16,120,2023,7,28,6,False
B098NS6PVG,2023-07-23,116,2023,7,29,6,False
B098NS6PVG,2023-07-30,109,2023,7,30,6,False
B098NS6PVG,2023-08-06,106,2023,8,31,6,False
B098NS6PVG,2023-08-13,113,2023,8,32,6,False
B098NS6PVG,2023-08-20,113,2023,8,33,6,False
